journal,impact_factor
Nature,48.5
Science,45.8
Cell,42.5
Lancet,88.5
New England Journal of Medicine,78.5
JAMA,55.0
BMJ,42.7
Nature Medicine,50.0
Nature Reviews Drug Discovery,101.8
Lancet Oncology,35.9
Nature Reviews Cancer,66.8
Lancet Respiratory Medicine,32.8
Journal of Clinical Oncology,41.9
Journal of the American College of Cardiology,35.6
Circulation,38.6
Circulation Research,20.3
Stroke,9.9
Blood,21.0
Cancer Cell,44.5
Cancer Discovery,33.3
Cancer Research,12.5
Leukemia,31.3
Journal of Hepatology,33.0
Gastroenterology,31.8
Gut,23.0
Hepatology,17.0
Annals of Surgery,15.6
JAMA Surgery,21.0
Brain,14.5
Neuron,16.2
Acta Neuropathologica,17.4
Alzheimer's & Dementia,13.0
Journal of Neuroscience,5.6
Nature Reviews Neuroscience,29.9
Lancet Neurology,45.5
JAMA Neurology,21.0
Neurology,10.4
Pain,7.9
Anesthesiology,10.7
Critical Care Medicine,8.8
Intensive Care Medicine,27.0
Chest,10.1
Thorax,9.7
American Journal of Respiratory and Critical Care Medicine,19.3
European Respiratory Journal,16.6
Annal of Internal Medicine,19.5
JAMA Internal Medicine,22.0
Lancet Diabetes & Endocrinology,41.8
Diabetes Care,16.2
Diabetes,7.7
Endocrinology,5.9
Journal of Bone and Joint Surgery,6.4
Spine,4.4
European Spine Journal,2.6
World Neurosurgery,1.8
Neurosurgery,4.8
Journal of Neurosurgery,4.1
JAMA Psychiatry,25.8
American Journal of Psychiatry,16.7
Molecular Psychiatry,9.6
Biological Psychiatry,10.6
Lancet Psychiatry,18.9
Nature Genetics,30.8
Nature Medicine,50.0
Nature Biotechnology,41.7
Cell Stem Cell,23.9
Genome Research,7.3
Nucleic Acids Research,16.6
EMBO Journal,11.4
Journal of Cell Biology,9.7
Developmental Cell,11.0
Current Biology,9.6
PNAS,11.1
Scientific Reports,3.8
Nature Communications,16.6
Cell Reports,8.8
eLife,7.7
PLOS ONE,3.7
PLOS Biology,7.7
PLOS Medicine,15.3
BMC Medicine,9.6
BMC Cancer,3.8
Annals of Oncology,35.4
Clinical Cancer Research,11.5
Journal of Thoracic Oncology,20.4
Lancet Gastroenterology & Hepatology,38.6
Gut,23.0
Journal of Clinical Investigation,15.9
Nature Immunology,32.4
Immunity,32.4
Journal of Experimental Medicine,12.6
Blood,21.0
Nature Reviews Immunology,67.0
Trends in Immunology,21.2
Pharmacological Reviews,33.6
Journal of Pharmacology and Experimental Therapeutics,4.6
Clinical Pharmacology & Therapeutics,6.6
British Journal of Pharmacology,7.3
Anesthesia & Analgesia,5.1
Regional Anesthesia and Pain Medicine,5.4
European Journal of Pain,2.9
Journal of Pain,4.2
Pain Medicine,3.0
Frontiers in Pain Research,2.5
Anaesthesia,6.4
British Journal of Anaesthesia,11.4
Anesthesiology,10.7
Anaesthesia,6.4
Journal of Clinical Anesthesia,2.8
Korean Journal of Anesthesiology,1.8
Acta Anaesthesiologica Scandinavica,2.6
Pain Practice,2.5
Clinical Journal of Pain,2.8
European Journal of Anaesthesiology,3.0
Canadian Journal of Anaesthesia,2.8
Regional Anesthesia and Pain Medicine,5.4
Expert Opinion on Pharmacotherapy,3.4
CNS Drugs,5.6
Neuropsychopharmacology,6.6
Psychopharmacology,4.2
European Neuropsychopharmacology,3.7
Journal of Psychopharmacology,4.4
Pain,7.9
Journal of Pain Research,2.7
BMC Anesthesiology,2.2
Korean Journal of Anesthesiology,1.8
Medicine,1.6
Therapeutics and Clinical Risk Management,2.3
Drug Design Development and Therapy,3.9
Current Opinion in Anaesthesiology,1.8
International Journal of Molecular Sciences,5.6
Molecules,3.9
Scientific Reports,3.8
Journal of Translational Medicine,5.5
Translational Medicine,3.5
Evidence-based Complementary and Alternative Medicine,2.0
Journal of Alternative and Complementary Medicine,2.6
BMJ Open,2.9
BMJ Case Reports,0.5
Lancet Digital Health,11.6
JMIR Mental Health,3.6
Journal of Medical Internet Research,5.4
JMIR Public Health and Surveillance,3.5
Journal of Medical Internet Research,5.4
JMIR mHealth and uHealth,3.9
JMIR Serious Games,2.5
